original_id,pdf_page_start,pdf_page_end,decision,review_reason,study_card,prior_review_decision,related_objectives,technical_sources
A001,3,3,retained,Adapted and corrected. A clean filesystem does not clear a physical drive-health warning. Protect the data and check the drive with the maker's diagnostics.,A001,rewrite,5.2,https://www.seagate.com/support/kb/my-system-reported-a-smart-error-on-the-drive-184619en/
A002,3,3,removed,Key is unsupported: replacing router does not make its own MAC the client allowlist entry; security and radio compatibility also matter.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A003,3,3,retained,Adapted and corrected. RAM holds active work. More RAM reduces the need to page working data to slower storage in this scenario.,A003,rewrite,"3.3, 5.1",https://learn.microsoft.com/en-us/troubleshoot/windows-client/performance/introduction-to-the-page-file
A004,3,4,retained,Adapted and corrected. VLANs separate Layer 2 networks logically. A configured trunk can carry several VLANs between switches.,A004,rewrite,2.4,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/vlans.html
A005,4,4,retained,"Scenario retained. Ribbon prints first sheet; pressure produces multipart copies. The ribbon supplies ink. Replacing a worn ribbon may improve the top sheet, while paper type and printhead gap also affect multipart output. A laser printer does not strike through a form stack.",A005,keep,3.8,https://files.support.epson.com/htmldocs/lx50__/lx50__ug/paper_2.htm
A006,4,4,retained,Adapted and corrected. The internal test page rules out individual PC print drivers. Use the exact model's approved drum-cleaning procedure.,A006,rewrite,5.6,https://support.hp.com/ca-en/document/ish_6747730-6747774-16
A007,4,5,removed,Sentence is truncated and does not establish scaling behavior; covered by A049.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A008,5,5,retained,Adapted and corrected. The model-specific code supplies the missing evidence. Three beeps do not mean the same fault on every computer.,A008,rewrite,5.1,https://www.dell.com/support/kbdoc/en-ca/000126068/how-to-diagnose-and-resolve-common-memory-issues-on-a-dell-desktop-pc
A009,5,5,retained,"Adapted and corrected. Infrastructure as a Service supplies virtual compute, storage and networking. It does not by itself provide the migration procedure.",A009,keep,4.2,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary/what-are-iaas-paas-and-saas
A010,5,6,retained,Adapted and corrected. The heat warning and blocked filter support a cooling problem. Follow the manual's filter-cleaning procedure.,A010,keep,5.3,https://download.epson.com.sg/manuals/Projector%20Safety%20Instruction_Safety_412792200EN.pdf
A011,6,6,retained,Scenario retained. Trace an unlabeled copper run with compatible toner and probe. The generator puts a traceable signal on the cable; the probe detects it. Use tools rated for the circuit and follow instructions for live networks. Label both ends after identification. A toner does not certify Ethernet speed.,A011,keep,2.8,https://www.flukenetworks.com/datacom-cabling/copper-testing/IntelliTone-Pro-Toner-and-Probe
A012,6,6,removed,Primarily Core 2 authentication-factor taxonomy; excluded from this Core 1 deck.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A013,6,7,retained,"Adapted and corrected. The supported SSD addresses storage latency while retaining the HDD. M.2 alone describes a form factor, not guaranteed speed.",A013,rewrite,3.4,https://www.kingston.com/en/ssd/ssd-faq
