card_id,topic,question,options,correct_letters,answer,explanation,related_objectives,source_question_ids,sources
A001,Computer hardware,A laptop reports a SMART drive-health warning during startup. A filesystem check finds no errors. Which type of problem does the warning concern?,"A. Drive health detected by SMART
B. Insufficient IOPS by itself
C. A DIMM error code
D. A RAID controller configuration error",A,A. Drive health detected by SMART,A clean filesystem does not clear a physical drive-health warning. Protect the data and check the drive with the maker's diagnostics.,5.2,A001,https://www.seagate.com/support/kb/my-system-reported-a-smart-error-on-the-drive-184619en/
A003,Computer hardware,An office PC runs one app well but slows badly with several apps open. Monitoring shows RAM is nearly full and the system is paging heavily. Which supported upgrade best addresses this measured bottleneck?,"A. SSD
B. CPU
C. HDD
D. RAM",D,D. RAM,RAM holds active work. More RAM reduces the need to page working data to slower storage in this scenario.,"3.3, 5.1",A003,https://learn.microsoft.com/en-us/troubleshoot/windows-client/performance/introduction-to-the-page-file
A004,Networking,Which technology lets one managed switch contain several logically separate local broadcast domains?,"A. VLAN
B. VRRP
C. VPN
D. DHCP",A,A. VLAN,VLANs separate Layer 2 networks logically. A configured trunk can carry several VLANs between switches.,2.4,A004,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/vlans.html
A005,Printers,"A company has a dot matrix printer that uses carbon paper. The company reports that the first page is printing too light, although the following pages are still legible. Which of the following MOST likely needs to be fixed?","A. The print drum is worn and loose causing the printing to be l ight in places
B. The ribbon is low on ink or missing and must be replaced to g et proper output
C. The heating element has failed, and a new one needs to be ins talled for proper transfer
D. The wrong type of filement is loaded, preventing it from stic king correctly
E. The fuser assembly is not calibrated properly, causing it to impact the paper too hard",B,B. The ribbon is low on ink or missing and must be replaced to g et proper output,"Ribbon prints first sheet; pressure produces multipart copies. The ribbon supplies ink. Replacing a worn ribbon may improve the top sheet, while paper type and printhead gap also affect multipart output. A laser printer does not strike through a form stack.",3.8,A005,https://files.support.epson.com/htmldocs/lx50__/lx50__ug/paper_2.htm
A006,Printers,Every internal test page from a laser printer has thin vertical lines. The model's defect guide points to contamination on its serviceable drum. Which action best fits these findings?,"A. Replace the printer paper with a new ream.
B. Clear the print spooler on each computer.
C. Reinstall the printer driver on each computer
D. Perform the drum-cleaning procedure.",D,D. Perform the drum-cleaning procedure.,The internal test page rules out individual PC print drivers. Use the exact model's approved drum-cleaning procedure.,5.6,A006,https://support.hp.com/ca-en/document/ish_6747730-6747774-16
A008,Computer hardware,"A new PC powers on but fails POST with three beeps. Its service manual identifies that exact code as improperly seated memory. After disconnecting power and following ESD precautions, which action fits?","A. Replacing the power supply
B. Replacing the UPS
C. Changing the CMOS battery
D. Reseating the RAM",D,D. Reseating the RAM,The model-specific code supplies the missing evidence. Three beeps do not mean the same fault on every computer.,5.1,A008,https://www.dell.com/support/kbdoc/en-ca/000126068/how-to-diagnose-and-resolve-common-memory-issues-on-a-dell-desktop-pc
A009,Cloud and virtualization,An administrator plans to move on-premises VMs to rented cloud compute while continuing to manage their guest operating systems. Which service model fits?,"A. IaaS
B. SaaS
C. DBaaS
D. A managed email application",A,A. IaaS,"Infrastructure as a Service supplies virtual compute, storage and networking. It does not by itself provide the migration procedure.",4.2,A009,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary/what-are-iaas-paas-and-saas
A010,Displays and peripherals,"A classroom projector shuts down after 15 minutes and cannot restart until it cools. A heat warning appears and its serviceable air filter is clogged. After safe shutdown and cooling, what should the technician do?","A. Clean the filter.
B. Adjust the standby timeout.
C. Check the power cable connection.
D. Replace the bulb.",A,A. Clean the filter.,The heat warning and blocked filter support a cooling problem. Follow the manual's filter-cleaning procedure.,5.3,A010,https://download.epson.com.sg/manuals/Projector%20Safety%20Instruction_Safety_412792200EN.pdf
A011,Networking,A user's computer is not receiving a network connection. The technician confirms that the connection seems to be down and looks for the user's port on the patch panel. The port and patch panel are not labeled. Which of the following network tools should the technician use to identify the port?,"A. Network tap
B. Punchdown tool
C. Toner probe
D. Crimper",C,C. Toner probe,Trace an unlabeled copper run with compatible toner and probe. The generator puts a traceable signal on the cable; the probe detects it. Use tools rated for the circuit and follow instructions for live networks. Label both ends after identification. A toner does not certify Ethernet speed.,2.8,A011,https://www.flukenetworks.com/datacom-cabling/copper-testing/IntelliTone-Pro-Toner-and-Probe
A013,Computer hardware,A workstation's HDD slows application loading. Its motherboard supports an available PCIe/NVMe M.2 slot. The HDD must remain installed. Which addition best addresses the storage bottleneck?,"A. A compatible M.2 NVMe SSD for the applications and active data
B. A SAS drive without a SAS controller
C. Another HDD with similar performance
D. An unsupported parallel SCSI drive",A,A. A compatible M.2 NVMe SSD for the applications and active data,"The supported SSD addresses storage latency while retaining the HDD. M.2 alone describes a form factor, not guaranteed speed.",3.4,"A013, A113",https://www.kingston.com/en/ssd/ssd-faq
A014,Wireless,"A user failed to gain access to a building's entrance after security measures at the entrance were upgraded last week. The company implemented the 13.56MHz frequency short band, and users can now utilize their mobile devices to authenticate. Which of the following has to be enabled for the mobile device to authenticate?","A. Bluetooth
B. Biometrics
C. NFC
D. PIN",C,C. NFC,NFC operates at 13.56 MHz and supports close-range credential exchange. Devices are normally brought within a small fraction of an inch to around an inch for a tap. NFC may exchange a small payload or start a Bluetooth connection; it is not the best choice for sustained large-file transfers.,"1.2, 2.2",A014,https://nfc-forum.org/learn/nfc-technology/
A015,Mobile devices,"A tablet's touch pointer consistently lands beside the point being touched. The screen is intact, and this model supports touch calibration. Which adjustment should be tried?","A. The screen is physically damaged.
B. The screen rotation is incorrect.
C. The touch-pen battery is depleted.
D. The screen needs to be recalibrated.",D,D. The screen needs to be recalibrated.,Calibration maps touch coordinates to display coordinates. It applies only to devices that support the procedure; random drifting can have other causes.,"1.1, 5.4",A015,https://www.dell.com/support/kbdoc/en-us/000132121/how-to-troubleshoot-touchscreen-touch-panel-issues
A016,Displays and peripherals,"A PC sends video to a projector through VGA, with no separate audio cable. Both devices support HDMI audio and the projector has working speakers. Which connection can carry both signals?","A. Changing the input on the projector to VGA
B. Changing the output on the PC to DVI
C. Modifying the projector's refresh rate
D. Utilizing an HDMI connection",D,D. Utilizing an HDMI connection,HDMI can carry video and audio. Select the HDMI audio output and check volume after connecting it.,"3.2, 5.3",A016,https://www.hdmi.org/spec/hdmi1_4b; https://support.microsoft.com/en-us/windows/fix-sound-or-audio-problems-in-windows-73025246-b61c-40fb-671a-2535c7cd56c8
A018,Mobile devices,An administrator is configuring a corporate-owned smartphone for a new manager. The company requires the ability to wipe the phone's data remotely in the event of loss or theft and the capability to approve applications installed on the phone. Which of the following tools would BEST meet this need?,"A. Tethering to a corporate-owned laptop
B. WPA2-Enterpise wireless
C. Corporate enterprise email
D. Mobile device management",D,D. Mobile device management,"MDM supports policies, approved apps and remote wipe on enrolled devices. An organization can distribute settings and apps and enforce supported policies. Capabilities depend on device ownership, platform and enrollment type. Enrollment does not mean every personal detail becomes visible to IT.",1.3,A018,https://learn.microsoft.com/en-us/intune/fundamentals/what-is-intune
A019,Networking,A site uses an internet modem on the same copper telephone pair as its analog POTS service. Both services fail together. Which access technology matches this setup?,"A. Fiber
B. Cable
C. DSL
D. Satellite",C,C. DSL,DSL uses telephone copper. POTS means Plain Old Telephone Service. A shared-line failure can affect both services.,2.7,A019,https://www.verizon.com/support/residential/internet/getting-started/setup-dsl
A020,Cloud and virtualization,A supported application-testing hypervisor needs at least 16 GB RAM and 100 GB free storage for the host and planned guests. All four systems have supported CPUs. Which configuration meets both stated requirements?,"A. 32 GB RAM and 500 GB free storage
B. 8 GB RAM and 500 GB free storage
C. 32 GB RAM and 50 GB free storage
D. 4 GB RAM and 50 GB free storage",A,A. 32 GB RAM and 500 GB free storage,Only A meets both explicit resource requirements. The missing comparison exhibit is replaced with a complete text scenario.,4.1,A020,https://learn.microsoft.com/en-us/windows-server/virtualization/hyper-v/host-hardware-requirements
A022,Networking,An online retailer would like to add capacity to support increased sales. Additional servers have been installed. Which of the following should be used to ensure each new server is being properly utilized?,"A. Virtualization
B. Clustering
C. Load balancer
D. Round-robin DNS",C,C. Load balancer,Distributes requests across backend servers; verify health and algorithm. This can improve capacity and availability. Health checks help avoid failed servers. A load balancer does not automatically add servers; scaling must be configured separately.,2.3,A022,https://aws.amazon.com/what-is/load-balancing/
A024,Computer hardware,"A workstation reboots during GPU rendering. Its PSU supplies 200 W, but the measured component demand exceeds that output under load. The PSU supports the available 115 V AC input. Where should troubleshooting focus?","A. The UPS, as 115V is insufficient for the configuration and sh ould be increased to 220V
B. The power supply, as 200W is insufficient when the GPU is hea vily tasked
C. The graphics card, as it is the component that triggers the u nexpected reboots
D. The motherboard, as only standard PCI slots should be used fo r high-end graphics cards, not PCI Express slots",B,"B. The power supply, as 200W is insufficient when the GPU is hea vily tasked",The output wattage is inadequate for the measured load. A supported 115 V input is not itself the problem.,3.6,"A024, A092",https://www.corsair.com/ww/en/p/psu/cp-9020170-na/vs-series-vs450-450-watt-80-plus-white-certified-psu-cp-9020170-na; https://help.corsair.com/hc/en-us/articles/14641912717453-PSU-Efficiency-Ratings-Explained
A025,Mobile devices,Which of the following components enables the input on a mobile device's touch screen?,"A. OLED
B. Digitizer
C. Inverter
D. CMOS sensor",B,B. Digitizer,"Digitizer detects touch input; display produces image. The digitizer turns touches into location data. Check supported calibration, driver and settings first. Inspect hardware and connections if appropriate. A working image does not prove the touch layer works, and not every screen supports manual calibration.","1.1, 5.4",A025,https://www.dell.com/support/kbdoc/en-us/000132121/how-to-troubleshoot-touchscreen-touch-panel-issues
A026,Cloud and virtualization,Which of the following describes metered utilization of cloud resources?,"A. Resources provisioned instantly
B. Resource usage is measured, often informing usage-based charges
C. Resources pooled to increase computing power
D. Implementation of rapid elasticity",B,"B. Resource usage is measured, often informing usage-based charges","Measured service tracks consumption. The contract determines billing, which may also include fixed fees or commitments.",4.2,A026,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf
A028,Printers,An IT manager discovered that hundreds of pages of printed materials are being recycled each day because the materials are left on the printer tray instead of being picked up by users. Which of the following would BEST prevent this waste?,"A. Send friendly reminders to not print unnecessarily.
B. Enable duplex printing to reduce paper utilization.
C. Bill each department for the excess material cost.
D. Require a code or badge before releasing a print job.",D,D. Require a code or badge before releasing a print job.,"Hold jobs until authenticated release to reduce abandoned prints. A PIN, badge or authenticated release can hold the job until the user arrives. This protects physical pickup; it does not automatically encrypt every network transfer or stored copy.",3.7,A028,https://support.hp.com/us-en/document/c05500352
